Depth	Taxaid	Taxonomic Tree	MetaPhlAn Average	Kraken Average
Family	538999	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis	0.004577099950266711	0	0.004577099950266711
Family	203492	Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	1.629999974288446e-05	0	1.629999974288446e-05
Family	186827	Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	4.700000098319857e-06	0	4.700000098319857e-06
Family	649777	Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0.0011918000078793916	4.707402199961881e-06	0.0011870926056794296
Family	31957	Bacteria|Actinobacteria|Actinomycetia|Propionibacteriales|Propionibacteriaceae	7.00000014643383e-06	5.117042245581628e-06	1.8829579008522022e-06
Family	1268	Bacteria|Actinobacteria|Actinomycetia|Micrococcales|Micrococcaceae	4.429999773119622e-05	3.153204410790841e-06	4.114679332040538e-05
Family	85015	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae	0	1.4659634541396014e-06	-1.4659634541396014e-06
Family	143786	Bacteria|Spirochaetes|Spirochaetia|Brachyspirales|Brachyspiraceae	0.00997499976296378	1.550873062099e-05	0.00995949103234279
Family	85023	Bacteria|Actinobacteria|Actinomycetia|Micrococcales|Microbacteriaceae	0.00552039988134776	2.2119118770905226e-06	0.0055181879694706695
Family	1129771	Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0.00018210000412635587	0	0.00018210000412635587
Family	31953	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae	0.007639399916992749	0.006291443040249055	0.0013479568767436941
Family	135621	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	5.300000237886333e-05	2.9775736806987805e-06	5.002242869816455e-05
Family	2810281	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Turicibacteraceae	2.6499999581990078e-05	0.00011666417259423602	-9.016417301224594e-05
Family	909930	Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae	0.002663299971061443	0.0001459578260433964	0.0025173421450180467
Family	186817	Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae	0.00010800000503796523	0	0.00010800000503796523
Family	2159	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0.001106799987973869	0	0.001106799987973869
Family	2171987	Bacteria|Candidatus_Saccharibacteria|Candidatus_Nanoperiomorbia|Candidatus_Nanoperiomorbales|Candidatus_Nanoperiomorbaceae	1.0200000231130311e-05	0	1.0200000231130311e-05
Family	1647988	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae	0.002769300038536868	6.953343490546104e-05	0.0026997666036314067
Family	85026	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Gordoniaceae	0	6.5276863240933195e-06	-6.5276863240933195e-06
Family	1762	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Mycobacteriaceae	0	2.7053383727491775e-05	-2.7053383727491775e-05
Family	1577788	Archaea|Candidatus_Thermoplasmatota|Thermoplasmata|Methanomassiliicoccales|Methanomassiliicoccaceae	0.004484800101624825	0	0.004484800101624825
Family	41294	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae	0	1.5289807377550486e-06	-1.5289807377550486e-06
Family	2508947	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales|Candidatus_Borkfalkiaceae	0.0033607999634826333	0	0.0033607999634826333
Family	815	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	0.12170179867762759	0.6154635723494113	-0.4937617736717837
